Git Issue Id;Title;Labels;State;AssigneeName;IssueCreatedAt;IssueClosedDate;Severity
4059;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;06/12/2019;2019-12-10;Major
4060;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;06/12/2019;2019-12-10;Major
4061;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;06/12/2019;2019-12-10;Major
4065;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;06/12/2019;2019-12-17;Major
4066;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;06/12/2019;2019-12-17;Major
4067;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;06/12/2019;2019-12-17;Major
4068;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;06/12/2019;2019-12-17;Major
4069;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;06/12/2019;2019-12-17;Major
4070;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;06/12/2019;2019-12-17;Major
4075;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;07/12/2019;2019-12-13;Major
4076;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;07/12/2019;2019-12-13;Major
4106;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;10/12/2019;2020-02-26;Major
4119;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Anderson;12/12/2019;2020-03-13;Major
4127;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/12/2019;2019-12-13;Major
4128;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/12/2019;2019-12-17;Major
4129;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/12/2019;2019-12-17;Major
4130;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;13/12/2019;2019-12-17;Major
4131;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/12/2019;2019-12-17;Major
4132;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/12/2019;2019-12-17;Major
4137;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/12/2019;2020-01-30;Major
4139;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/12/2019;2020-01-10;Major
4140;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/12/2019;2020-01-10;Major
4142;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/12/2019;2020-01-10;Major
4155;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;17/12/2019;2020-01-30;Major
4156;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;17/12/2019;2020-01-10;Major
4163;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;17/12/2019;2020-01-30;Major
4164;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;17/12/2019;2020-01-10;Major
4179;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;19/12/2019;2020-01-07;Major
4180;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;19/12/2019;2020-01-17;Major
4192;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;20/12/2019;2020-01-10;Minor
4193;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;20/12/2019;2020-01-07;Major
4198;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;20/12/2019;2020-01-10;Major
4218;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;27/12/2019;2020-01-10;Major
4236;Alpine: Issue;" [security;vams]"; closed;Adam;06/01/2020;2020-01-10;Major
4266;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;09/01/2020;2020-01-09;Major
4267;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;09/01/2020;2020-01-09;Major
4268;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;09/01/2020;2020-04-14;Major
4269;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;09/01/2020;2020-04-14;Major
4270;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Zenith;09/01/2020;2020-04-14;Major
4271;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Zenith;09/01/2020;2020-04-14;Major
4273;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Jack;09/01/2020;2020-01-16;Critical
4280;Anchore: Issue;" [Anchore;Auto_Created;security]"; opened;Michael;09/01/2020;NA;Major
4281;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Zenith;10/01/2020;2020-04-14;Major
4282;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Zenith;10/01/2020;2020-04-14;Major
4283;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;10/01/2020;2020-03-24;Major
4286;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Zenith;10/01/2020;2020-04-14;Major
4287;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Zenith;10/01/2020;2020-04-14;Major
4288;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Zenith;10/01/2020;2020-04-14;Major
4289;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Zenith;10/01/2020;2020-04-14;Major
4296;Tenable.sc:Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/01/2020;2020-01-28;Major
4299;Tenable.sc:Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/01/2020;2020-01-30;Major
4430;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Zenith;27/01/2020;2020-04-14;Major
4448;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; opened;Zenith;28/01/2020;NA;Major
4460;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Jack;29/01/2020;2020-03-13;Major
4461;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;29/01/2020;2020-01-31;Major
4464;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; opened;Zenith;29/01/2020;NA;Major
4502;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Jack;04/02/2020;2020-02-04;Major
4503;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Jack;04/02/2020;2020-02-10;Critical
4511;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Jack;05/02/2020;2020-02-11;Blocker
4523;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Jack;06/02/2020;2020-05-13;Major
4524;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Jack;06/02/2020;2020-02-13;Minor
4559;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Zenith;09/02/2020;2020-02-10;Major
4577;Nessus: Issue;" [Auto_Created;Clair;security]"; opened;Anderson;10/02/2020;NA;Major
4582;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Anderson;10/02/2020;2020-03-27;Major
4594;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;10/02/2020;2020-02-26;Major
4595;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;10/02/2020;2020-02-26;Major
4596;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;10/02/2020;2020-02-26;Major
4604;Alpine: Issue;" [security;vams]"; closed;Jack;10/02/2020;2020-02-18;Blocker
4626;ZAP: Issue;" [Auto_Created;Clair;security]"; opened;Jack;12/02/2020;NA;Major
4639;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Jack;13/02/2020;2020-03-10;Major
4652;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Jack;14/02/2020;2020-02-17;Major
4661;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Jack;14/02/2020;2020-04-15;Not Assigned
4699;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;20/02/2020;2020-03-26;Major
4700;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;20/02/2020;2020-04-07;Major
4702;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Zenith;21/02/2020;2020-04-15;Major
4719;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Zenith;25/02/2020;2020-04-14;Major
4724;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Zenith;25/02/2020;2020-03-03;Major
4725;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;25/02/2020;2020-04-14;Major
4736;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;27/02/2020;2020-04-07;Major
4755;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;03/03/2020;2020-03-13;Major
4756;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;03/03/2020;2020-03-09;Major
4757;terraform issue;" [security;vams]"; closed;Adam;03/03/2020;2020-03-09;Major
4758;LibreSSL vulnerability - issue;" [security;vams]"; closed;Adam;03/03/2020;2020-03-09;Major
4765;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;03/03/2020;2020-04-14;Major
4776;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Jack;04/03/2020;2020-03-05;Blocker
4782;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-13;Major
4783;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-09;Major
4784;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-09;Major
4785;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-09;Major
4786;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-09;Major
4787;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-09;Major
4788;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-09;Major
4789;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Zenith;05/03/2020;2020-03-19;Major
4792;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;05/03/2020;2020-03-13;Major
4818;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Zenith;10/03/2020;2020-03-12;Major
4820;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Jack;10/03/2020;2020-03-16;Blocker
4829;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Jack;11/03/2020;2020-03-23;Major
4830;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-11;Major
4831;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-11;Major
4832;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-11;Major
4833;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-11;Major
4834;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-11;Major
4835;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-11;Major
4836;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-11;Major
4845;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;11/03/2020;2020-03-13;Major
4847;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4848;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4849;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4850;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4851;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4852;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4853;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4854;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4855;Nessus: Issue;" [Auto_Created;Clair;security]"; closed;Adam;12/03/2020;2020-03-13;Major
4858;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4859;Kubernetes vulnerability ;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4860;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4861;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4862;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4863;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4864;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-04-02;Major
4865;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4866;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4867;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4868;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4869;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4870;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4871;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4872;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4873;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4874;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4875;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4877;Alpine: Issue;" [security;vams]"; closed;Adam;13/03/2020;2020-03-13;Major
4878;ZAP: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4879;ZAP: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4880;ZAP: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4881;ZAP: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4882;ZAP: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4883;ZAP: Issue;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
